iter	Passed	Remaining
0	137	137386
1	139	69504
2	139	46464
3	141	35285
4	143	28511
5	143	23848
6	144	20532
7	147	18261
8	148	16400
9	150	14906
10	153	13762
11	154	12752
12	155	11819
13	157	11063
14	158	10418
15	160	9850
16	161	9338
17	164	8970
18	167	8627
19	168	8254
20	169	7923
21	171	7618
22	172	7327
23	174	7085
24	175	6849
25	177	6664
26	179	6462
27	181	6291
28	182	6108
29	183	5927
30	184	5777
31	185	5610
32	187	5480
33	188	5346
34	189	5223
35	190	5103
36	191	4991
37	196	4986
38	199	4905
39	200	4807
40	203	4749
41	204	4664
42	206	4588
43	208	4530
44	210	4468
45	216	4483
46	217	4416
47	219	4359
48	221	4294
49	222	4233
50	224	4171
51	226	4120
52	227	4070
53	228	4011
54	230	3959
55	233	3937
56	236	3910
57	238	3878
58	241	3853
59	243	3809
60	245	3771
61	249	3768
62	250	3730
63	252	3693
64	254	3662
65	256	3623
66	257	3589
67	259	3552
68	260	3518
69	262	3487
70	265	3467
71	266	3433
72	267	3400
73	269	3372
74	271	3345
75	272	3318
76	274	3291
77	276	3268
78	278	3243
79	280	3224
80	282	3205
81	288	3230
82	289	3202
83	291	3182
84	295	3184
85	297	3158
86	299	3144
87	301	3123
88	303	3102
89	304	3078
90	306	3061
91	307	3039
92	309	3018
93	310	2995
94	312	2973
95	314	2960
96	315	2941
97	317	2921
98	319	2905
99	320	2888
100	323	2876
101	324	2858
102	326	2844
103	328	2828
104	331	2821
105	332	2806
106	334	2787
107	335	2772
108	336	2754
109	338	2739
110	340	2723
111	341	2710
112	344	2702
113	346	2693
114	348	2681
115	350	2672
116	352	2659
117	354	2650
118	356	2642
119	366	2688
120	372	2702
121	373	2690
122	375	2676
123	377	2668
124	379	2655
125	381	2646
126	383	2632
127	384	2620
128	386	2611
129	388	2601
130	390	2588
131	391	2577
132	393	2566
133	395	2557
134	397	2546
135	399	2535
136	400	2524
137	402	2515
138	405	2511
139	406	2499
140	408	2491
141	411	2483
142	412	2474
143	414	2463
144	415	2452
145	417	2443
146	419	2436
147	421	2426
148	423	2417
149	424	2407
150	426	2399
151	428	2392
152	430	2381
153	432	2374
154	433	2365
155	435	2355
156	436	2345
157	438	2338
158	440	2330
159	442	2322
160	443	2312
161	446	2308
162	448	2301
163	449	2292
164	451	2283
165	453	2280
166	456	2277
167	458	2269
168	459	2261
169	461	2253
170	463	2248
171	465	2242
172	467	2235
173	469	2228
174	470	2219
175	472	2210
176	473	2203
177	475	2197
178	477	2188
179	478	2181
180	480	2174
181	481	2166
182	483	2158
183	485	2151
184	487	2147
185	490	2144
186	492	2139
187	493	2132
188	495	2125
189	497	2122
190	500	2119
191	505	2126
192	506	2119
193	508	2113
194	510	2105
195	511	2098
196	513	2093
197	515	2086
198	517	2081
199	518	2075
200	521	2072
201	522	2065
202	525	2061
203	526	2054
204	529	2052
205	530	2046
206	532	2039
207	533	2032
208	535	2026
209	537	2020
210	538	2014
211	540	2007
212	542	2002
213	545	2004
214	547	1997
215	548	1991
216	550	1985
217	551	1979
218	553	1975
219	555	1968
220	557	1966
221	559	1961
222	561	1956
223	562	1950
224	565	1946
225	566	1940
226	568	1937
227	570	1931
228	572	1926
229	574	1922
230	576	1918
231	577	1912
232	579	1906
233	581	1904
234	583	1901
235	586	1897
236	588	1896
237	605	1937
238	606	1932
239	608	1927
240	611	1924
241	612	1918
242	614	1912
243	615	1907
244	616	1901
245	618	1895
246	619	1890
247	622	1886
248	623	1881
249	625	1877
250	627	1871
251	628	1866
252	630	1862
253	634	1862
254	639	1869
255	643	1871
256	646	1870
257	648	1865
258	650	1861
259	651	1855
260	653	1849
261	655	1846
262	657	1841
263	658	1836
264	660	1831
265	661	1826
266	663	1821
267	664	1816
268	668	1815
269	670	1811
270	671	1807
271	673	1802
272	674	1797
273	676	1791
274	677	1786
275	678	1780
276	680	1775
277	681	1770
278	683	1765
279	684	1759
280	685	1754
281	686	1749
282	688	1744
283	690	1739
284	691	1735
285	693	1732
286	695	1727
287	696	1722
288	698	1718
289	699	1713
290	701	1708
291	707	1714
292	710	1713
293	711	1709
294	713	1705
295	716	1704
296	718	1701
297	720	1696
298	721	1691
299	722	1686
300	724	1681
301	725	1676
302	726	1671
303	727	1666
304	729	1661
305	730	1656
306	732	1653
307	734	1649
308	736	1647
309	738	1643
310	740	1639
311	741	1635
312	744	1633
313	745	1628
314	747	1626
315	749	1622
316	750	1617
317	752	1613
318	753	1609
319	762	1620
320	768	1626
321	771	1623
322	776	1627
323	778	1623
324	780	1620
325	781	1616
326	786	1617
327	788	1614
328	790	1612
329	792	1608
330	794	1604
331	798	1606
332	799	1601
333	800	1596
334	802	1592
335	803	1588
336	804	1583
337	806	1579
338	808	1576
339	810	1572
340	811	1568
341	813	1565
342	815	1561
343	817	1558
344	818	1553
345	819	1549
346	821	1546
347	823	1542
348	824	1537
349	825	1533
350	827	1529
351	828	1525
352	829	1521
353	831	1517
354	832	1512
355	833	1507
356	834	1503
357	836	1500
358	837	1496
359	839	1492
360	841	1488
361	843	1486
362	844	1482
363	845	1477
364	846	1473
365	848	1470
366	850	1466
367	852	1464
368	854	1460
369	855	1457
370	857	1453
371	859	1450
372	861	1447
373	864	1446
374	865	1442
375	867	1438
376	868	1435
377	870	1432
378	871	1428
379	873	1425
380	875	1422
381	877	1418
382	878	1415
383	880	1412
384	881	1408
385	882	1403
386	884	1400
387	885	1397
388	887	1394
389	889	1390
390	890	1387
391	891	1383
392	893	1379
393	894	1376
394	895	1372
395	897	1368
396	898	1364
397	900	1361
398	901	1358
399	903	1355
400	905	1352
401	908	1351
402	914	1354
403	916	1351
404	917	1348
405	918	1344
406	921	1342
407	923	1339
408	924	1335
409	925	1332
410	927	1328
411	928	1324
412	929	1320
413	930	1317
414	932	1314
415	933	1310
416	934	1306
417	936	1303
418	938	1301
419	940	1298
420	941	1294
421	942	1291
422	945	1289
423	946	1285
424	947	1282
425	949	1278
426	950	1275
427	951	1272
428	953	1268
429	955	1266
430	956	1263
431	958	1259
432	960	1257
433	961	1254
434	963	1251
435	965	1248
436	966	1245
437	967	1241
438	969	1238
439	970	1235
440	972	1232
441	973	1229
442	975	1226
443	976	1223
444	978	1220
445	981	1218
446	982	1215
447	984	1212
448	986	1210
449	987	1206
450	989	1204
451	991	1202
452	992	1198
453	994	1195
454	995	1192
455	996	1188
456	997	1185
457	998	1182
458	1000	1178
459	1001	1176
460	1003	1173
461	1005	1170
462	1006	1167
463	1008	1164
464	1009	1161
465	1010	1158
466	1011	1154
467	1013	1152
468	1014	1148
469	1015	1145
470	1016	1142
471	1018	1139
472	1020	1136
473	1021	1133
474	1024	1132
475	1025	1129
476	1027	1126
477	1028	1123
478	1030	1120
479	1031	1117
480	1033	1114
481	1034	1111
482	1036	1109
483	1037	1106
484	1039	1103
485	1040	1100
486	1043	1099
487	1045	1096
488	1046	1093
489	1052	1095
490	1054	1093
491	1056	1091
492	1061	1091
493	1063	1088
494	1065	1087
495	1067	1084
496	1069	1082
497	1070	1079
498	1072	1076
499	1073	1073
500	1075	1070
501	1076	1068
502	1078	1065
503	1080	1063
504	1082	1060
505	1083	1058
506	1085	1055
507	1086	1052
508	1088	1049
509	1089	1046
510	1091	1044
511	1093	1041
512	1095	1040
513	1097	1037
514	1098	1034
515	1100	1032
516	1102	1029
517	1104	1028
518	1106	1025
519	1108	1023
520	1110	1020
521	1112	1018
522	1113	1015
523	1116	1014
524	1118	1011
525	1128	1016
526	1129	1013
527	1131	1011
528	1134	1010
529	1136	1007
530	1137	1004
531	1138	1001
532	1140	999
533	1141	996
534	1142	993
535	1144	990
536	1146	988
537	1147	985
538	1149	982
539	1150	979
540	1151	977
541	1153	974
542	1154	971
543	1155	968
544	1157	966
545	1158	963
546	1160	961
547	1162	958
548	1163	956
549	1165	953
550	1166	950
551	1168	948
552	1170	945
553	1171	943
554	1173	940
555	1174	937
556	1175	935
557	1177	932
558	1178	929
559	1179	927
560	1181	924
561	1183	922
562	1185	920
563	1187	917
564	1189	915
565	1191	913
566	1196	913
567	1197	910
568	1199	908
569	1200	905
570	1204	905
571	1206	902
572	1208	900
573	1209	897
574	1211	895
575	1213	893
576	1214	890
577	1216	888
578	1218	885
579	1219	883
580	1221	880
581	1222	877
582	1223	875
583	1225	872
584	1226	870
585	1228	867
586	1230	865
587	1231	862
588	1232	860
589	1233	857
590	1235	855
591	1236	852
592	1237	849
593	1239	847
594	1240	844
595	1242	841
596	1243	839
597	1244	836
598	1247	835
599	1250	833
600	1252	831
601	1254	829
602	1256	827
603	1257	824
604	1259	822
605	1260	819
606	1262	817
607	1263	814
608	1264	812
609	1266	809
610	1267	806
611	1268	804
612	1270	801
613	1271	799
614	1272	796
615	1274	794
616	1275	791
617	1277	789
618	1279	787
619	1281	785
620	1283	783
621	1284	780
622	1285	777
623	1287	775
624	1288	773
625	1290	770
626	1292	768
627	1293	766
628	1294	763
629	1295	760
630	1297	758
631	1298	756
632	1300	754
633	1302	751
634	1304	749
635	1306	747
636	1308	745
637	1309	743
638	1311	740
639	1312	738
640	1314	736
641	1316	734
642	1318	731
643	1320	729
644	1324	728
645	1326	726
646	1329	725
647	1331	723
648	1333	721
649	1336	719
650	1341	718
651	1342	716
652	1343	714
653	1347	712
654	1348	710
655	1350	708
656	1352	706
657	1353	703
658	1355	701
659	1357	699
660	1359	697
661	1361	695
662	1362	692
663	1363	690
664	1365	687
665	1366	685
666	1368	683
667	1370	681
668	1372	679
669	1374	677
670	1375	674
671	1377	672
672	1378	669
673	1380	667
674	1382	665
675	1383	663
676	1384	660
677	1386	658
678	1387	656
679	1389	653
680	1390	651
681	1392	649
682	1393	646
683	1395	644
684	1396	642
685	1397	639
686	1398	637
687	1399	634
688	1401	632
689	1402	630
690	1404	628
691	1406	625
692	1407	623
693	1409	621
694	1410	619
695	1411	616
696	1413	614
697	1414	612
698	1415	609
699	1417	607
700	1418	605
701	1420	603
702	1422	600
703	1424	598
704	1425	596
705	1427	594
706	1429	592
707	1430	590
708	1432	588
709	1434	585
710	1436	583
711	1438	581
712	1439	579
713	1441	577
714	1442	575
715	1444	572
716	1445	570
717	1446	568
718	1448	566
719	1450	563
720	1451	561
721	1453	559
722	1454	557
723	1455	555
724	1457	552
725	1458	550
726	1460	548
727	1461	546
728	1462	543
729	1464	541
730	1466	539
731	1467	537
732	1471	535
733	1472	533
734	1475	531
735	1482	531
736	1483	529
737	1484	527
738	1486	524
739	1488	522
740	1490	520
741	1491	518
742	1492	516
743	1494	514
744	1496	512
745	1497	509
746	1498	507
747	1500	505
748	1501	503
749	1502	500
750	1503	498
751	1505	496
752	1506	494
753	1507	491
754	1509	489
755	1510	487
756	1512	485
757	1513	483
758	1514	480
759	1515	478
760	1517	476
761	1518	474
762	1519	472
763	1521	469
764	1522	467
765	1524	465
766	1525	463
767	1527	461
768	1529	459
769	1531	457
770	1532	455
771	1534	453
772	1536	451
773	1537	449
774	1540	447
775	1541	445
776	1544	443
777	1552	443
778	1554	440
779	1556	439
780	1559	437
781	1560	435
782	1562	433
783	1564	430
784	1566	429
785	1567	426
786	1570	424
787	1571	422
788	1573	420
789	1575	418
790	1577	416
791	1578	414
792	1580	412
793	1581	410
794	1583	408
795	1584	406
796	1586	403
797	1587	401
798	1589	399
799	1591	397
800	1592	395
801	1594	393
802	1596	391
803	1598	389
804	1599	387
805	1601	385
806	1602	383
807	1603	381
808	1605	378
809	1606	376
810	1608	374
811	1610	372
812	1614	371
813	1616	369
814	1618	367
815	1624	366
816	1625	364
817	1627	362
818	1629	360
819	1631	358
820	1633	356
821	1635	354
822	1636	351
823	1637	349
824	1639	347
825	1640	345
826	1642	343
827	1643	341
828	1645	339
829	1649	337
830	1650	335
831	1653	333
832	1654	331
833	1656	329
834	1657	327
835	1659	325
836	1660	323
837	1661	321
838	1662	319
839	1663	316
840	1665	314
841	1667	312
842	1668	310
843	1670	308
844	1673	307
845	1676	305
846	1677	303
847	1679	301
848	1681	298
849	1683	297
850	1685	295
851	1687	293
852	1688	290
853	1689	288
854	1692	286
855	1693	284
856	1695	282
857	1696	280
858	1697	278
859	1699	276
860	1701	274
861	1703	272
862	1705	270
863	1706	268
864	1708	266
865	1710	264
866	1711	262
867	1713	260
868	1715	258
869	1716	256
870	1718	254
871	1719	252
872	1721	250
873	1722	248
874	1724	246
875	1726	244
876	1727	242
877	1729	240
878	1731	238
879	1732	236
880	1734	234
881	1736	232
882	1737	230
883	1739	228
884	1740	226
885	1742	224
886	1743	222
887	1745	220
888	1747	218
889	1751	216
890	1758	215
891	1759	213
892	1764	211
893	1766	209
894	1769	207
895	1774	205
896	1776	204
897	1779	202
898	1781	200
899	1782	198
900	1784	196
901	1786	194
902	1788	192
903	1789	190
904	1791	188
905	1794	186
906	1796	184
907	1797	182
908	1800	180
909	1801	178
910	1802	176
911	1804	174
912	1806	172
913	1807	170
914	1809	168
915	1811	166
916	1813	164
917	1815	162
918	1817	160
919	1819	158
920	1821	156
921	1822	154
922	1823	152
923	1825	150
924	1826	148
925	1827	146
926	1829	144
927	1830	142
928	1832	140
929	1833	138
930	1835	136
931	1836	134
932	1837	131
933	1838	129
934	1840	127
935	1841	125
936	1843	123
937	1845	121
938	1846	119
939	1848	117
940	1849	115
941	1851	113
942	1852	111
943	1854	110
944	1855	108
945	1857	106
946	1858	104
947	1860	102
948	1861	100
949	1863	98
950	1864	96
951	1865	94
952	1867	92
953	1869	90
954	1870	88
955	1873	86
956	1875	84
957	1878	82
958	1879	80
959	1881	78
960	1882	76
961	1883	74
962	1884	72
963	1886	70
964	1887	68
965	1889	66
966	1891	64
967	1893	62
968	1896	60
969	1898	58
970	1900	56
971	1904	54
972	1907	52
973	1910	51
974	1914	49
975	1915	47
976	1917	45
977	1919	43
978	1922	41
979	1924	39
980	1925	37
981	1927	35
982	1928	33
983	1929	31
984	1931	29
985	1932	27
986	1934	25
987	1935	23
988	1937	21
989	1939	19
990	1940	17
991	1942	15
992	1943	13
993	1944	11
994	1945	9
995	1947	7
996	1948	5
997	1950	3
998	1951	1
999	1953	0
