Rutting,Fatigue_Cracking,Block_Cracking,Longitudinal_Cracking,Transverse_Cracking,Patching,Potholes,Delamination,Traffic_Volume,Temperature_C,Precipitation_mm,Severity_Rating,Maintenance_History
5.4,2.1,1.3,0.5,0.7,10,2,1.5,1000,25,12,High,Major repairs
4.2,1.7,2.0,0.3,0.6,5,3,0.8,900,24,8,Medium,Minor repairs
6.0,2.5,1.5,0.8,1.0,15,4,1.2,1200,26,10,High,None
3.0,1.3,1.0,0.4,0.5,7,1,1.0,800,22,15,Low,Minor repairs
7.0,2.8,1.2,1.1,0.9,12,5,1.8,1300,28,20,Medium,Major repairs
4.5,1.9,1.3,0.6,0.4,6,2,0.9,1100,23,7,Low,Minor repairs
8.0,3.0,2.2,1.2,1.3,20,6,2.0,1400,30,18,High,Major repairs
5.6,2.2,1.4,0.5,0.8,8,3,1.3,950,25,9,Medium,Minor repairs
4.0,1.5,1.0,0.7,0.6,10,2,1.0,1000,24,10,Low,Minor repairs
6.5,2.7,1.8,1.0,1.1,18,4,1.7,1150,27,14,High,None
5.3,2.0,1.2,0.6,0.5,9,2,1.1,1050,23,6,Medium,Minor repairs
3.5,1.6,1.1,0.3,0.4,5,3,0.7,800,22,8,Low,Major repairs
6.2,2.4,1.6,0.9,1.0,14,4,1.3,1200,27,11,High,Minor repairs
4.8,1.8,1.4,0.7,0.6,10,2,1.2,1000,25,10,Low,Minor repairs
7.2,2.9,1.1,1.2,1.1,16,5,1.6,1300,29,15,Medium,Major repairs
4.4,1.7,1.2,0.5,0.7,7,3,1.0,950,24,12,Low,Minor repairs
6.3,2.6,1.5,0.8,1.2,13,4,1.4,1100,26,9,High,Major repairs
5.1,2.0,1.3,0.6,0.8,9,2,1.2,1050,22,7,Medium,Minor repairs
3.9,1.4,1.0,0.4,0.5,6,3,0.8,950,23,5,Low,Major repairs
7.4,3.1,1.7,1.3,1.2,18,6,2.1,1400,31,20,High,Major repairs
5.0,2.3,1.4,0.7,0.9,10,2,1.0,1000,24,10,Low,Minor repairs
6.8,2.8,1.9,0.9,1.1,14,5,1.5,1250,28,13,High,None
4.3,1.6,1.1,0.6,0.6,8,3,1.1,1100,24,11,Medium,Minor repairs
5.7,2.2,1.5,0.7,0.9,12,4,1.3,1150,27,14,High,Major repairs
4.1,1.5,1.2,0.5,0.7,6,2,1.0,1000,23,8,Low,Minor repairs
6.4,2.6,1.8,0.9,1.0,13,4,1.4,1200,26,12,High,Minor repairs
5.2,2.1,1.3,0.6,0.8,9,3,1.1,1050,22,9,Medium,Major repairs
3.6,1.7,1.2,0.4,0.5,7,2,0.9,950,21,10,Low,Minor repairs
7.1,2.9,1.5,1.1,1.0,16,5,1.8,1300,30,14,Medium,Major repairs
4.7,1.8,1.3,0.6,0.7,8,2,1.0,1100,25,12,Low,Minor repairs
6.9,2.7,1.6,0.8,1.0,15,4,1.4,1200,28,13,High,None
4.6,1.9,1.2,0.5,0.6,7,3,1.1,1000,23,7,Medium,Minor repairs
5.5,2.3,1.4,0.7,0.8,10,3,1.2,1050,24,11,High,Major repairs
3.8,1.6,1.0,0.4,0.5,6,2,0.8,950,22,9,Low,Minor repairs
7.3,2.8,1.7,1.2,1.1,17,6,1.9,1300,30,16,Medium,Major repairs
5.0,2.1,1.3,0.7,0.8,11,3,1.2,1000,24,10,Low,Minor repairs
6.7,2.6,1.5,0.9,1.0,13,4,1.4,1150,27,12,High,Major repairs
4.9,2.2,1.3,0.6,0.7,9,3,1.1,1100,25,13,Medium,Minor repairs
6.1,2.4,1.6,0.8,1.1,14,4,1.3,1200,26,10,High,Minor repairs
4.2,1.7,1.1,0.5,0.6,8,2,1.0,1050,23,11,Low,Minor repairs
5.8,2.5,1.4,0.7,0.9,12,3,1.2,1100,27,14,High,Major repairs
3.3,1.6,1.0,0.4,0.5,6,2,0.8,900,22,7,Low,Minor repairs
7.6,3.0,1.8,1.3,1.2,19,6,2.2,1350,31,20,High,Major repairs
4.5,2.1,1.3,0.6,0.8,10,3,1.0,1050,24,12,Low,Minor repairs
6.2,2.5,1.5,0.8,1.0,15,4,1.3,1200,27,11,High,Minor repairs
5.3,2.2,1.3,0.6,0.7,9,3,1.1,1000,24,8,Medium,Major repairs
4.8,1.9,1.2,0.7,0.6,8,2,1.0,950,23,9,Low,Minor repairs
6.0,2.7,1.6,0.8,1.1,14,4,1.4,1150,26,12,High,Major repairs
5.6,2.3,1.4,0.6,0.9,12,3,1.2,1050,25,10,Medium,Minor repairs
7.8,3.2,1.9,1.4,1.3,18,5,2.0,1300,32,19,High,Major repairs
