CNN,Street_Name,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
5175001,ELLIS ST,82,LEAVENWORTH ST,HYDE ST,2019-08-30T15:30:05.000,Survey,Yes,
2864001,BEALE ST,79,MISSION ST,NATOMA ST,2019-08-30T14:58:36.000,Survey,Yes,
108001,01ST ST,80,TEHAMA ST,CLEMENTINA ST,2002-11-19T00:00:00.000,Survey,Yes,
110000,01ST ST,74,CLEMENTINA ST,FOLSOM ST,2009-08-10T15:43:09.000,Survey,No,
114000,01ST ST,100,HARRISON ST \ I-80 E ON RAMP,END,2008-10-29T13:59:27.000,Survey,No,
12195000,Stockton St,100,Ofarrell St,Geary St,2018-12-04T10:13:35.000,Treatment,Yes,Arterial
116001,DELANCEY ST,67,FEDERAL ST,BAYSIDE VILLAGE PL,1997-09-09T00:00:00.000,Survey,Yes,
116002,DELANCEY ST,67,BAYSIDE VILLAGE PL,BRANNAN ST,1997-09-09T00:00:00.000,Survey,Yes,
140000,02ND ST,54,HARRISON ST,STILLMAN ST,2009-08-10T15:43:09.000,Survey,No,
159000,03RD AVE,100,KEZAR DR \ LINCOLN WAY,LINCOLN WAY,2008-10-29T13:59:27.000,Survey,No,
172000,03RD ST,50,HARRISON ST,PERRY ST,2009-08-10T15:43:09.000,Survey,No,
173000,03RD ST,100,PERRY ST,STILLMAN ST,2009-08-10T15:43:09.000,Survey,No,
174000,03RD ST,100,STILLMAN ST,BRYANT ST,2009-08-10T15:43:09.000,Survey,No,
1932000,42nd Ave,100,Lincoln Way,Irving St,2018-12-11T11:10:55.000,Treatment,Yes,Residential
23158000,18th Ave: Vicente St Intersection,100,VICENTE ST,Intersection,2016-12-13T15:26:16.000,Treatment,No,
829000,18th Ave,100,Clement St,Geary Blvd,2019-12-10T07:36:39.000,Treatment,Yes,Residential
33662000,Putnam St: Crescent Ave Intersection,100,PUTNAM ST,Intersection,2015-12-18T18:08:17.000,Treatment,No,
7016001,HOLYOKE ST,72,MANSELL ST,END,2019-10-20T09:29:12.000,Survey,Yes,
20226000,Newhall St: Hudson Ave Intersection,100,NEWHALL ST,Intersection,2015-12-18T17:55:54.000,Treatment,No,
21044000,Prentiss St: Crescent Ave Intersection,100,PRENTISS ST,Intersection,2015-12-18T18:08:17.000,Treatment,No,
23154000,17th Ave: Vicente St Intersection,100,VICENTE ST,Intersection,2016-12-13T15:26:16.000,Treatment,No,
34015000,Willie B Kennedy Dr: Hudson Ave Intersection,100,WILLIE B KENNEDY DR,Intersection,2015-12-18T18:06:52.000,Treatment,No,
14004000,Kalmanovitz St,85,Orsi Cir,Orsi Cir,2019-10-12T09:15:47.000,Survey,Yes,Residential
8913000,Mccarthy Ave,82,Argonaut Ave,Burr Ave,2019-09-01T09:35:08.000,Survey,Yes,Residential
3709000,Carolina St,78,Mariposa St,18th St,2019-10-27T09:21:57.000,Survey,Yes,Residential
185101,03RD ST,48,MISSION ROCK ST,CHINA BASIN ST,2005-11-16T16:50:06.000,Survey,Yes,
185102,03RD ST,48,CHINA BASIN ST,MISSION BAY BLVD,2005-11-16T16:50:06.000,Survey,Yes,
185103,03RD ST,48,MISSION BAY BLVD,MISSION BAY BLVD,2005-11-16T16:50:06.000,Survey,Yes,
8353101,Lincoln Way,46,15th Ave,16th Ave,2019-10-26T09:33:36.000,Survey,Yes,Arterial
3190000,Broderick St,74,Oak St,Fell St,2019-11-02T09:20:51.000,Survey,Yes,Residential
185201,03RD ST,48,MISSION ROCK ST,CHINA BASIN ST,2005-11-16T16:50:06.000,Survey,Yes,
185202,03RD ST,48,CHINA BASIN ST,MISSION BAY BLVD,2005-11-16T16:50:06.000,Survey,Yes,
185203,03RD ST,48,MISSION BAY BLVD,MISSION BAY BLVD,2005-11-16T16:50:06.000,Survey,Yes,
185204,03RD ST,48,MISSION BAY BLVD,NELSON RISING LN,2005-11-16T16:50:06.000,Survey,Yes,
185206,03RD ST,48,CAMPUS WAY,16TH ST,2005-11-16T16:50:06.000,Survey,Yes,
10182000,Page St,84,Lyon St,Central Ave,2019-09-08T09:37:43.000,Survey,Yes,Residential
8247000,Leavenworth St,76,Bush St,Pine St,2019-08-25T09:32:58.000,Survey,Yes,Collector
227102,03RD ST,74,FITZGERALD AVE,KEITH ST,2002-08-13T00:00:00.000,Survey,Yes,
227103,03RD ST,74,KEITH ST,GILMAN AVE \ PAUL AVE,2002-08-13T00:00:00.000,Survey,Yes,
1251000,23rd St,95,Sfgh Access,Utah St,2019-10-27T09:18:51.000,Survey,Yes,Residential
